filename,char_length,word_length,line_length
Kumar.Abhinav 17.docx,6506,1,1
Kumar.Abhinav 3.docx,5295,1,1
SOQ.docx,3178,1,1
Kumar Abhinav_SAPFICO.docx,4780,1,1
Kumar.Abhinav 2.docx,5048,1,1
SOQ 2.docx,3178,1,1
Kumar.Abhinav__Supply_Chain_Analyst 2.docx,7608,1,1
Kumar.Abhinav 16.docx,5727,1,1
Kumar.Abhinav 5.docx,5525,1,1
Kumar.Abhinav.docx,5994,1,1
Kumar.Abhinav 9.docx,5414,1,1
Kumar.Abhinav 11.docx,5825,1,1
Kumar.Abhinav 10.docx,5992,1,1
Kumar.Abhinav 8.docx,4903,1,1
Kumar.Abhinav_Software_Developer.docx,5108,1,1
Kumar.Abhinav 4.docx,4408,1,1
Kumar.Abhinav__Supply_Chain_Analyst.docx,6164,1,1
Kumar.Abhinav 7.docx,4497,1,1
Kumar.Abhinav_Software_Developer 2.docx,6186,1,1
Kumar.Abhinav 13.docx,5826,1,1
Kumar.Abhinav 12.docx,6153,1,1
Kumar.Abhinav 6.docx,5926,1,1
Kumar.Abhinav copy.docx,6199,1,1
Kumar.Abhinav 15.docx,5744,1,1
Kumar.Abhinav__ Data_Analyst.docx,6120,1,1
Kumar_Abhinav_Technical_program_Manager.docx,6242,1,1
Kumar.Abhinav 18.docx,5891,1,1
Kumar Abhinav EA to VP Resume.docx,3521,1,1
Kumar.Abhinav 14.docx,6232,1,1
Kumar.Abhinav__ Data_Analyst 2.docx,5635,1,1
Kumar.Abhinav_Final_0529.docx,4844,1,1
